states_ut,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,report_page,round,year
A&N Island,21.3,49.9,23.0,52.6,29.9,60.7,31,15,2013
A&N Island,41.5,62.2,45.8,79.3,50.0,74.3,31,16,2014
A&N Island,42.3,69.2,58.0,82.0,55.0,78.0,31,17,2014
A&N Island,62.9,82.3,67.9,85.9,82.3,92.3,31,18,2015
A&N Island,60.6,73.1,63.8,87.9,72.7,86.7,31,19,2015
A&N Island,14.6,33.9,16.4,28.8,24.4,37.8,31,20,2016
A&N Island,17.7,34.3,14.9,19.4,19.1,38.8,31,21,2016
A&N Island,18.6,40.9,15.8,37.2,20.9,44.1,31,22,2017
A&N Island,21.8,40.4,12.7,27.3,22.7,43.3,31,23,2018
A&N Island,25.1,55.2,9.6,46.9,29.7,61.8,31,24,2019
