Report Page,States/UT,Round,Year,Pre (N),Post (N),Serotype O (N) Pre,Serotype O (N) Post,Serotype A (N) Pre,Serotype A (N) Post,Serotype Asia1 (N) Pre,Serotype Asia1 (N) Post
26,Haryana,1,2011,2587,2573,1105,1979,838,1796,769,1586
26,Haryana,2,2011,2586,2594,1081,1876,986,1876,727,1537
26,Haryana,3,2012,2555,2562,1092,1809,1113,1856,650,1576
26,Haryana,4,2012,2565,2575,1043,2049,893,1811,840,1700
26,Haryana,5,2013,2600,2600,1210,1867,1178,1638,1010,1709
26,Haryana,6,2013,2580,2580,1171,2063,1455,2161,1865,2341
26,Haryana,7,2014,2558,2597,1755,2285,1895,2160,2050,2483
26,Haryana,8,2014,2600,2600,1987,2427,1907,2371,2138,2506
26,Haryana,9,2015,2600,2600,2113,2447,2112,2439,2208,2542
26,Haryana,10,2015,2000,200,1347,192,1343,191,1555,199
26,Haryana,16,2019,797,1383,216,988,175,975,229,1024
26,Haryana,17,2019,1200,1800,474,1284,535,1361,503,1347
