Report Page,States/UT,Round,Year,Serotype O (%) Pre,Serotype O (%) Post,Serotype A (%) Pre,Serotype A (%) Post,Serotype Asia1 (%) Pre,Serotype Asia1 (%) Post
22,Maharashtra,6,2014,61.3,92.5,43.1,82.8,35.5,77.0
22,Maharashtra,7,2014,71.1,93.0,57.4,89.0,60.0,65.0
22,Maharashtra,8,2015,60.5,89.4,67.9,93.3,67.2,93.9
22,Maharashtra,9,2015,46.3,67.0,28.9,51.9,38.9,60.7
22,Maharashtra,10,2016,66.1,75.8,46.2,59.0,54.2,67.1
22,Maharashtra,11,2017,44.9,66.9,32.8,57.6,41.4,60.8
22,Maharashtra,12,2018,40.2,57.5,27.2,44.9,36.4,50.9
22,Maharashtra,13,2018,44.1,59.0,29.8,49.0,38.4,59.5
22,Maharashtra,14,2019,30.6,43.9,20.2,33.6,24.1,37.9
