States/UT,Pre (N),Post (N),Serotype O (N) Pre,Serotype O (N) Post,Serotype A (N) Pre,Serotype A (N) Post,Serotype Asia1 (N) Pre,Serotype Asia1 (N) Post
Andhra Pradesh,2119,2116,191,618,119,504,196,576
Arunachal Pradesh,186,,5,,26,,2,
Assam,1989,1401,184,224,39,96,26,87
Chhattisgarh,2152,2011,366,716,234,461,248,457
Goa,735,735,251,361,203,318,253,314
Gujarat,2223,2223,418,982,364,942,447,1033
Haryana,2267,2271,549,1345,545,1380,643,1448
Himachal Pradesh,625,1028,19,87,23,75,9,44
Jharkhand,1506,492,135,143,51,65,71,82
Karnataka,2300,2303,376,1042,284,766,304,865
Kerala,660,796,217,562,173,501,219,552
Maharashtra,4346,4359,761,1581,627,1285,705,1410
Mizoram,838,838,88,255,75,222,91,241
Manipur,807,807,78,370,57,329,58,297
Madhya Pradesh,4589,4589,458,1304,397,983,428,1108
Odisha,2262,2262,287,814,198,464,166,402
Punjab,2145,,244,,408,,390,
Sikkim,921,390,21,103,35,65,22,84
Tamilnadu,2246,2246,832,1578,618,1366,625,1388
Telangana,2210,2210,458,1157,321,1085,453,1215
Uttar Pradesh,7468,5975,738,1714,559,1086,642,1323
Uttarakhand,1320,1291,55,314,50,226,39,298
A&N Island,328,516,65,203,32,180,80,234
Delhi,200,191,79,155,95,143,81,148
Jammu Kashmir,1525,1137,265,416,141,268,157,220
Total,47967,42187,7140,16044,5674,12810,6355,13826
